WKT,Name,LongDescription,Category,SubCategory,Code,Address,Postcode,Chain,Borough
POINT (443465.739296772 519657.157721003),Bird Tech,Other Commercial Services Commercial Services,Other Commercial Services,Commercial Services,142,Bishopton Road,TS18 4PB,,STOCKTON ON TEES
POINT (443470.929267867 520286.8477869),Aysgarth,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,163 Durham Road,TS19 0EA,,STOCKTON ON TEES
POINT (443470.929267867 520286.8477869),Lustrum Vale,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,163 Durham Road,TS19 0EA,,STOCKTON ON TEES
POINT (443470.929267867 520286.8477869),North Tees Health NHS Trust,Health & Wellness Healthcare and Healthcare Support Services,Health & Wellness,Healthcare and Healthcare Support Services,124,163 Durham Road,TS19 0EA,,STOCKTON ON TEES
POINT (443472.401403114 512469.760919314),D R Copeland,Retail & Consumer Goods Floor and Carpet,Retail & Consumer Goods,Floor and Carpet,156,21 Glaisdale Road,TS15 9RN,,STOCKTON ON TEES
POINT (443477.147414325 518648.929823797),Oxbridge Fish Bar,Food & Drink Restaurant,Food & Drink,Restaurant,100,50 Oxbridge Lane,TS18 4DW,,STOCKTON ON TEES
POINT (443481.458641186 520314.880273171),St John's Church Centre,"Government, Community & Religious Church","Government, Community & Religious",Church,107,168 Durham Road,TS19 0,,STOCKTON ON TEES
POINT (443482.479436005 516730.819135709),T K Encasa,"Construction, Manufacturing & Trades Manufacturing","Construction, Manufacturing & Trades",Manufacturing,25,Eagle Court,TS18 3TB,,STOCKTON ON TEES
POINT (443482.695821226 517549.956735674),"The Eaglescliffe Hotel ,?????????? ?????",Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,Yarm Road,TS18 3RY,,STOCKTON ON TEES
POINT (443482.737149969 516730.9328692),Greenham Trading,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS18 3TB,,STOCKTON ON TEES
POINT (443482.737149969 516730.9328692),Everyday Language Solutions,Financial & Professional Services Translation and Interpretation Services,Financial & Professional Services,Translation and Interpretation Services,82,,TS18 3TB,,STOCKTON ON TEES
POINT (443483.098263905 517983.182340987),Rocco Linardi Limited,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,38 Hartburn Lane,TS18 4EF,,STOCKTON ON TEES
POINT (443486.6986371 527470.618311011),The Sugar Studio,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,Lynnwood Drive,TS22 5FQ,,STOCKTON ON TEES
POINT (443489.964325559 518498.263342181),Windsor Court Nursing Home,Health & Wellness Nursing Home,Health & Wellness,Nursing Home,130,44 Windsor Road,TS18 4DZ,,STOCKTON ON TEES
POINT (443490.394477561 521032.521480294),Stop and Shop,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,13 Rochester Road,TS19 0NX,,STOCKTON ON TEES
