WKT,Name,LongDescription,Category,SubCategory,Code,Address,Postcode,Chain,Borough
POINT (449079.305120227 518644.417771501),AtLightcutz,Health & Wellness Barbershop,Health & Wellness,Barbershop,119,450 Linthorpe Road,TS5 6JG,,MIDDLESBROUGH
POINT (449079.305120227 518644.417771501),Newboulds,Food & Drink Food-Beverage Specialty Store,Food & Drink,Food-Beverage Specialty Store,96,450 Linthorpe Road,TS5 6JG,,MIDDLESBROUGH
POINT (449079.792549199 518647.205145141),C & C Hair,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,448 Linthorpe Road,TS5 6JG,,MIDDLESBROUGH
POINT (449080.202944131 518819.590422425),Swagger & Slick,Health & Wellness Barbershop,Health & Wellness,Barbershop,119,411 Linthorpe Road,TS5 6JN,,MIDDLESBROUGH
POINT (449080.214114875 518650.103095691),Mama Mia's,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,446 Linthorpe Road,TS5 6JG,,MIDDLESBROUGH
POINT (449080.403144783 518734.793204139),Delicious Cafe Linthorpe Village Middlesbrough,Food & Drink Restaurant,Food & Drink,Restaurant,100,Linthorpe Road,TS5 6HH,,MIDDLESBROUGH
POINT (449080.441925429 517150.133034312),CFR Civil Engineering Limited,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,11 Sledmere Drive,TS5 7LQ,,MIDDLESBROUGH
POINT (449081.447289409 518439.119573267),Illumina Care Group,"Government, Community & Religious Government Office","Government, Community & Religious",Government Office,111,The Avenue,TS5 6PB,,MIDDLESBROUGH
POINT (449081.495675813 520857.128882679),Stag Motor Company,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,1 Florence Street,TS2 1DR,,MIDDLESBROUGH
POINT (449081.495675813 520857.128882679),Fit & Fix Garage,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,1 Florence Street,TS2 1DR,,MIDDLESBROUGH
POINT (449081.495675813 520857.128882679),Multicoat,"Construction, Manufacturing & Trades Manufacturing","Construction, Manufacturing & Trades",Manufacturing,25,Florence Street,TS2 1DR,,MIDDLESBROUGH
POINT (449081.792097893 518828.176482854),Advanced Systems,Retail & Consumer Goods Consumer Electronics Store,Retail & Consumer Goods,Consumer Electronics Store,148,409 Linthorpe Road,TS5 6JN,,MIDDLESBROUGH
POINT (449081.792097893 518828.176482854),Uk CBD Oils,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,409 Linthorpe Road,TS5 6JN,,MIDDLESBROUGH
POINT (449083.579333755 520267.226818529),Teesside Ship Supplies,Food & Drink Food-Beverage Specialty Store,Food & Drink,Food-Beverage Specialty Store,96,13 Harris Street,TS1 5EF,,MIDDLESBROUGH
POINT (449083.87500148 520269.789566268),Pure Elegance,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,11 Harris Street,TS1 5,,MIDDLESBROUGH
POINT (449083.92778181 520210.80883694),Learn Direct,Education & Training Education Facility,Education & Training,Education Facility,31,Grange Road West,TS1 5,,MIDDLESBROUGH
POINT (449084.002982332 518640.573318587),Cleveland Hotel,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,458 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449084.002982332 518640.573318587),Linthorpe Community Centre,"Entertainment, Arts & Leisure Community Center","Entertainment, Arts & Leisure",Community Center,40,Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449084.23650979 520272.241737195),Are You Gelous Yet,Health & Wellness Nail Salon,Health & Wellness,Nail Salon,129,9 Harris Street,TS1 5EF,,MIDDLESBROUGH
POINT (449084.23650979 520272.241737195),Bob Dunkley Firearms,"Entertainment, Arts & Leisure Sporting Goods Store","Entertainment, Arts & Leisure",Sporting Goods Store,60,9 Harris Street,TS1 5EF,,MIDDLESBROUGH
POINT (449084.23650979 520272.241737195),PJS Brickwork,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,9 Harris Street,TS1 5EF,,MIDDLESBROUGH
POINT (449084.596819865 520274.805180735),Haven Medical Practice,Health & Wellness Family-General Practice Physicians,Health & Wellness,Family-General Practice Physicians,120,7 Harris Street,TS1 5EF,,MIDDLESBROUGH
POINT (449085.872493397 518767.458619595),Marta Minc Nails&Beauty,Health & Wellness Nail Salon,Health & Wellness,Nail Salon,129,420 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449085.872493397 518767.458619595),Naturally Oak Flooring,Retail & Consumer Goods Floor and Carpet,Retail & Consumer Goods,Floor and Carpet,156,420 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449085.872493397 518767.458619595),Cafe Roni's,Food & Drink Coffee-Tea,Food & Drink,Coffee-Tea,91,420 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449086.410526198 518687.339020604),Ollie's Bar,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,442 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449090.226464127 519030.1387492),The Caxton,Hospitality & Lodging Lodging,Hospitality & Lodging,Lodging,138,22 Caxton Street,TS5 6AH,,MIDDLESBROUGH
POINT (449092.56894682 520338.991421023),Nevisport,"Entertainment, Arts & Leisure Sporting Goods Store","Entertainment, Arts & Leisure",Sporting Goods Store,60,100 Newport Road,TS1 5JD,,MIDDLESBROUGH
POINT (449092.649901673 518720.569151411),The Red Lion,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,438 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449092.649901673 518720.569151411),Hand Car Wash,Automotive & Transport Car Wash,Automotive & Transport,Car Wash,5,438 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449092.649901673 518720.569151411),Ali's Superstore,Retail & Consumer Goods Grocery,Retail & Consumer Goods,Grocery,163,438 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449093.257071949 518724.248097622),Notemachine,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,436 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449095.07737986 518735.396209338),Colins Cards & Balloons,"Retail & Consumer Goods Gift, Antique and Art",Retail & Consumer Goods,"Gift, Antique and Art",162,430 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449095.449979866 520215.495562485),3 Grange Road,Automotive & Transport Parking Lot,Automotive & Transport,Parking Lot,10,Grange Road West,TS1 5,,MIDDLESBROUGH
POINT (449095.683349307 518739.186428402),Mind,Retail & Consumer Goods Used-Second Hand Merchandise Stores,Retail & Consumer Goods,Used-Second Hand Merchandise Stores,179,428 Linthorpe Road,TS5 6HW,,MIDDLESBROUGH
POINT (449096.163577057 518742.641438831),Kowloon House,Food & Drink Restaurant,Food & Drink,Restaurant,100,426 Linthorpe Road,TS5 6HW,Kowloon House,MIDDLESBROUGH
POINT (449097.199464752 518748.550704176),Yorkshire Green Grocer,Food & Drink Specialty Food Store,Food & Drink,Specialty Food Store,101,424 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449097.799817259 518800.972528482),Luciano's,Food & Drink Restaurant,Food & Drink,Restaurant,100,412 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449098.290377699 518911.706670059),Norchem Healthcare,Retail & Consumer Goods Drug Store,Retail & Consumer Goods,Drug Store,153,397 Linthorpe Road,TS5 6AE,,MIDDLESBROUGH
POINT (449098.290377699 518911.706670059),Hunters Pharmacy,Retail & Consumer Goods Pharmacy,Retail & Consumer Goods,Pharmacy,173,397 Linthorpe Road,TS5 6AE,,MIDDLESBROUGH
POINT (449099.169335273 519695.610089214),Steve Barry Conneely,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,33 Aske Road,TS1 4DA,,MIDDLESBROUGH
POINT (449099.589586711 519668.572265438),Bobby's Afro Caribbean Shop,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,62 Clifton Street,TS1 4BY,,MIDDLESBROUGH
POINT (449100.14424975 520542.057719465),Sainsbury's,Automotive & Transport Gas Station,Automotive & Transport,Gas Station,6,32 Wilson Street,TS1 1,Sainsbury's,MIDDLESBROUGH
POINT (449101.661795322 520845.327156782),Ucs (NE),Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,Italy Street,TS2 1DP,,MIDDLESBROUGH
POINT (449102.035191812 518779.985187188),G-Force Styling,Automotive & Transport Auto Parts,Automotive & Transport,Auto Parts,1,416 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449102.171482214 518935.674777238),Havana,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS5 6AE,,MIDDLESBROUGH
POINT (449102.260029395 519979.19857909),Northern Trophies Engravers,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,41 Union Street,TS1 4,,MIDDLESBROUGH
POINT (449103.132136349 518786.228967518),RBS Hairdressing,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,414 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449103.132136349 518786.228967518),Mirage Vape Stores,Food & Drink Vaping Store,Food & Drink,Vaping Store,105,414 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449103.419363149 515404.964286673),Brookfield Design Services Limited,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,24 Low Lane,TS5 8EA,,MIDDLESBROUGH
POINT (449104.167328244 520348.575555172),Yates's Wine Lodge,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,Newport Road,TS1 5JD,,MIDDLESBROUGH
POINT (449104.167328244 520348.575555172),Nobles Amusements,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,Newport Road,TS1 5JD,,MIDDLESBROUGH
POINT (449104.22907765 518792.472748211),La Roma,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,412 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449105.067523719 520349.030389877),Dream Hairstyling & Beauty,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,,TS1 5JD,,MIDDLESBROUGH
POINT (449105.326015714 518798.716529271),Teesside Hospice Trading,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,410 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449106.169080763 518804.512437316),O'Rourke Charles,Retail & Consumer Goods Home Specialty Store,Retail & Consumer Goods,Home Specialty Store,166,408 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449107.782171963 521453.012537504),NPS Media,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,Riverside Park Road,TS2 1,,MIDDLESBROUGH
POINT (449109.126884341 515343.59836478),Teesside Auto Locksmith,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,,TS5 8EL,,MIDDLESBROUGH
POINT (449110.230348642 519809.351558196),Guido,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,Princes Road,TS1 4,,MIDDLESBROUGH
POINT (449110.334466051 520790.334202278),M&M Exhaust Centre,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Snowdon Road,TS2 1,,MIDDLESBROUGH
POINT (449110.493294885 518823.36619192),MR Uno's,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,,TS5 6HF,,MIDDLESBROUGH
POINT (449110.876847687 519809.358519246),The Royal China,Food & Drink Restaurant,Food & Drink,Restaurant,100,15 Princes Road,TS1 4,,MIDDLESBROUGH
POINT (449111.079297914 520769.197968203),Thai 2 Go,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,North Road,TS1 5,,MIDDLESBROUGH
POINT (449111.595541769 518690.837287504),Motability Scheme At O'Brien Mobility Middlesbrough,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,Stonehouse Street,TS5 6,,MIDDLESBROUGH
POINT (449111.788718419 517681.501010888),Loft-Space,"Construction, Manufacturing & Trades Specialty Trade Contractors","Construction, Manufacturing & Trades",Specialty Trade Contractors,30,5 Tollesby Road,TS5 7RA,,MIDDLESBROUGH
POINT (449112.71993882 518676.493589886),The Copperstone,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS5 6HR,,MIDDLESBROUGH
POINT (449112.721135782 518676.3823175),T S Auto Repairs,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Stonehouse Street,TS5 6HR,,MIDDLESBROUGH
POINT (449112.721135782 518676.3823175),Tabs Studios,"Entertainment, Arts & Leisure Fine Arts","Entertainment, Arts & Leisure",Fine Arts,45,Stonehouse Street,TS5 6HR,,MIDDLESBROUGH
POINT (449112.721135782 518676.3823175),Monbello Blinds,"Construction, Manufacturing & Trades Glass and Window","Construction, Manufacturing & Trades",Glass and Window,20,Stonehouse Street,TS5 6HR,,MIDDLESBROUGH
POINT (449112.721135782 518676.3823175),A & K Fashions,Retail & Consumer Goods Women's Apparel,Retail & Consumer Goods,Women's Apparel,182,Stonehouse Street,TS5 6HR,,MIDDLESBROUGH
POINT (449112.946626695 518751.613589223),Acorn Vehicle Repairs,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Simpson Street,TS5 6HP,,MIDDLESBROUGH
POINT (449113.028478665 515329.841431326),Xcell Cleaning Services,"Construction, Manufacturing & Trades Glass and Window","Construction, Manufacturing & Trades",Glass and Window,20,Finchlay Court,TS5 8EL,,MIDDLESBROUGH
POINT (449113.593277257 518751.620549522),Almond Joinery,"Construction, Manufacturing & Trades Manufacturing","Construction, Manufacturing & Trades",Manufacturing,25,13 Simpson Street,TS5 6HP,,MIDDLESBROUGH
POINT (449113.813684192 518767.20286136),Joinery Building Solutions,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,Simpson Street,TS5 6HP,,MIDDLESBROUGH
POINT (449114.109342904 519809.393325875),Alfred's Barbers,Health & Wellness Barbershop,Health & Wellness,Barbershop,119,Princes Road,TS1 4,,MIDDLESBROUGH
POINT (449114.382376766 520318.52718905),Asgard Wargames,Retail & Consumer Goods Toy Store,Retail & Consumer Goods,Toy Store,177,71 Gilkes Street,TS1 5EH,,MIDDLESBROUGH
POINT (449115.613078439 519008.711342397),Indigo Florist (Middlesbrough),Retail & Consumer Goods Flowers and Jewelry,Retail & Consumer Goods,Flowers and Jewelry,158,371 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449115.613078439 519008.711342397),Daisys & Edwinas,Retail & Consumer Goods Florist,Retail & Consumer Goods,Florist,157,371 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449115.613078439 519008.711342397),Cafe One,Food & Drink Coffee-Tea,Food & Drink,Coffee-Tea,91,371 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449116.101637374 519011.38744986),Papas Pizza,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,369 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449116.103602878 518854.920320386),Village Medical Centre,Health & Wellness Family-General Practice Physicians,Health & Wellness,Family-General Practice Physicians,120,400 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449116.103602878 518854.920320386),Window To the Womb,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,400 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449116.103602878 518854.920320386),H Waters,Health & Wellness Hospital or Health Care Facility,Health & Wellness,Hospital or Health Care Facility,127,400 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449116.103602878 518854.920320386),M Howitt,Health & Wellness Hospital or Health Care Facility,Health & Wellness,Hospital or Health Care Facility,127,400 Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449116.65485702 519014.06425352),Concept,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,367 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449117.038712873 520317.999369697),RHLS,Financial & Professional Services Management and Consulting Services,Financial & Professional Services,Management and Consulting Services,78,,TS1 5EH,,MIDDLESBROUGH
POINT (449117.038712873 520317.999369697),Interpreting Plus,Financial & Professional Services Management and Consulting Services,Financial & Professional Services,Management and Consulting Services,78,,TS1 5EH,,MIDDLESBROUGH
POINT (449117.208075974 519016.741057268),Lucky Dragon,Food & Drink Restaurant,Food & Drink,Restaurant,100,365 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449117.328637186 518861.276769958),Middlesbrough Health Improvement Service,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,Linthorpe Road,TS5 6HF,,MIDDLESBROUGH
POINT (449117.510990111 520358.178516667),Oriental Pearl,Food & Drink Restaurant,Food & Drink,Restaurant,100,96 Newport Road,TS1 5JD,,MIDDLESBROUGH
POINT (449117.510990111 520358.178516667),Golden Chopsticks,Food & Drink Restaurant,Food & Drink,Restaurant,100,96 Newport Road,TS1 5JD,,MIDDLESBROUGH
POINT (449118.248653356 519022.205241311),Bedroom Image,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,361 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449119.915855465 519810.568708679),Money Maker,Retail & Consumer Goods Used-Second Hand Merchandise Stores,Retail & Consumer Goods,Used-Second Hand Merchandise Stores,179,Princes Road,TS1 4,,MIDDLESBROUGH
POINT (449121.26522916 519793.3340027),Princes Food Store,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,39 Princes Road,TS1 4BG,,MIDDLESBROUGH
POINT (449123.098867821 520913.553542495),Lw Body Repairs,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Washington Street,TS2 1,,MIDDLESBROUGH
POINT (449124.520800173 519058.32922188),The Antique Shop,Retail & Consumer Goods Home Specialty Store,Retail & Consumer Goods,Home Specialty Store,166,357 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449124.520800173 519058.32922188),Tees Valley Investigations,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,357 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449124.805165428 520815.19547423),G&R Motors,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Snowdon Road,TS2 1,,MIDDLESBROUGH
POINT (449124.827249715 518897.636510284),Lloydspharmacy,Retail & Consumer Goods Pharmacy,Retail & Consumer Goods,Pharmacy,173,386 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449124.827249715 518897.636510284),Lloyds Pharmacy,Retail & Consumer Goods Pharmacy,Retail & Consumer Goods,Pharmacy,173,386 Linthorpe Road,TS5 6HA,Lloyds Pharmacy,MIDDLESBROUGH
POINT (449124.934517636 518623.208143653),Luckys Cafe,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS5 6JF,Luckys Cafe,MIDDLESBROUGH
POINT (449125.407591559 515322.184858314),Apz Design,Financial & Professional Services IT and Office Equipment Services,Financial & Professional Services,IT and Office Equipment Services,77,34 Finchlay Court,TS5 8EL,,MIDDLESBROUGH
POINT (449125.92058309 519066.468124557),The Art House,"Entertainment, Arts & Leisure Art Museum","Entertainment, Arts & Leisure",Art Museum,37,353 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449125.922932983 518903.991570459),Afw Interiors Limited,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,384 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449125.922932983 518903.991570459),Recruitment Sense,Financial & Professional Services Human Resources and Recruiting Services,Financial & Professional Services,Human Resources and Recruiting Services,75,384 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449125.922932983 518903.991570459),Thorpe Thewles Management Services Limited,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,384 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449125.922932983 518903.991570459),Chipchase Manners,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,384 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449125.922932983 518903.991570459),Landen Investments Limited,Financial & Professional Services Financial Investment Firm,Financial & Professional Services,Financial Investment Firm,73,384 Linthorpe Road,TS5 6HA,,MIDDLESBROUGH
POINT (449126.587543533 519070.592864204),Head Game,Health & Wellness Barbershop,Health & Wellness,Barbershop,119,351 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449126.587543533 519070.592864204),Trends Lounge,Health & Wellness Barbershop,Health & Wellness,Barbershop,119,351 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449126.587543533 519070.592864204),Kutz,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,351 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449126.587543533 519070.592864204),Glamourella,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,351 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449126.587543533 519070.592864204),The Physio Clinic,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,351 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449127.677773515 518248.210330894),Middlesbrough Bowling Club,"Entertainment, Arts & Leisure Sports Facility-Venue","Entertainment, Arts & Leisure",Sports Facility-Venue,64,Cornfield Road,TS5 5QL,,MIDDLESBROUGH
POINT (449127.987318399 519078.731767769),Chamelion,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,347 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449128.359977548 520821.2431943),Sally's Cafe,Food & Drink Restaurant,Food & Drink,Restaurant,100,Snowdon Road,TS2 1DB,,MIDDLESBROUGH
POINT (449128.654274876 519082.856507845),Taylor-Made,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,345 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449128.654274876 519082.856507845),Lifestyle Express,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,345 Linthorpe Road,TS5 6AB,Lifestyle Express,MIDDLESBROUGH
POINT (449128.654274876 519082.856507845),Delhi Lounge,Food & Drink Restaurant,Food & Drink,Restaurant,100,349 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449128.654274876 519082.856507845),A D Property Maintenance NE,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,345A Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449129.209963014 518923.056753176),The Linthorpe Surgery,Health & Wellness Medical Services-Clinics,Health & Wellness,Medical Services-Clinics,128,378 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449129.209963014 518923.056753176),Your Family Pharmacy,Retail & Consumer Goods Pharmacy,Retail & Consumer Goods,Pharmacy,173,378 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449129.458072323 520269.390101912),Middlesbrough CLT,Financial & Professional Services Property Management,Financial & Professional Services,Property Management,81,20 Brentnall Street,TS1 5,,MIDDLESBROUGH
POINT (449130.305633101 518929.411814817),Whitworth Chemists,Retail & Consumer Goods Pharmacy,Retail & Consumer Goods,Pharmacy,173,376 Linthorpe Road,TS5 6HA,Whitworth Chemists,MIDDLESBROUGH
POINT (449130.763309479 520316.255351516),Clearance Outlet,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,Gilkes Street,TS1 5EH,,MIDDLESBROUGH
POINT (449130.78566297 519089.111440349),The Nail Lounge,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,343 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449130.816434182 520359.323408976),Depaul Uk-Positive Pathways,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS1 5JA,,MIDDLESBROUGH
POINT (449130.816434182 520359.323408976),Cousins & Co Chartered Accountants,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,,TS1 5JA,,MIDDLESBROUGH
POINT (449131.401299892 518935.766876822),Fusion,Health & Wellness Hair and Beauty,Health & Wellness,Hair and Beauty,122,374 Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449131.778311355 519093.017117837),Albert Park,"Entertainment, Arts & Leisure Park-Recreation Area","Entertainment, Arts & Leisure",Park-Recreation Area,56,Linthorpe Road,TS5 6,,MIDDLESBROUGH
POINT (449131.778311355 519093.017117837),Northern Grill,Food & Drink Coffee Shop,Food & Drink,Coffee Shop,90,341 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449132.576897862 520315.941033289),Stoneworks,Retail & Consumer Goods Furniture Store,Retail & Consumer Goods,Furniture Store,159,67 Gilkes Street,TS1 5,,MIDDLESBROUGH
POINT (449132.834420479 519097.03476442),Yourcash,Financial & Professional Services ATM,Financial & Professional Services,ATM,68,339 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449132.834420479 519097.03476442),The Inn Off the Park,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,339 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449132.834420479 519097.03476442),One Stop,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,339 Linthorpe Road,TS5 6AB,One Stop,MIDDLESBROUGH
POINT (449132.834420479 519097.03476442),Mist,Food & Drink Restaurant,Food & Drink,Restaurant,100,339 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449132.834420479 519097.03476442),Park Cars,Retail & Consumer Goods Used Car Dealer,Retail & Consumer Goods,Used Car Dealer,178,339 Linthorpe Road,TS5 6AB,,MIDDLESBROUGH
POINT (449134.048537293 519122.420901285),Careys Personal Credit,Financial & Professional Services Bank,Financial & Professional Services,Bank,70,1 Kensington Road,TS5 6AL,,MIDDLESBROUGH
POINT (449134.048537293 519122.420901285),Kensington Friendly Collecting Society,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,1 Kensington Road,TS5 6AL,,MIDDLESBROUGH
POINT (449134.048537293 519122.420901285),Tees Mutual,Financial & Professional Services Finance and Insurance,Financial & Professional Services,Finance and Insurance,72,1 Kensington Road,TS5 6AL,,MIDDLESBROUGH
POINT (449134.066074669 520315.734506122),Praise Christian Centre International,"Government, Community & Religious Church","Government, Community & Religious",Church,107,65 Gilkes Street,TS1 5,,MIDDLESBROUGH
POINT (449134.107395738 519032.836828953),Dorman Museum,"Entertainment, Arts & Leisure History Museum","Entertainment, Arts & Leisure",History Museum,48,Linthorpe Road,TS5 6LA,,MIDDLESBROUGH
POINT (449134.107395738 519032.836828953),Dressers Tea Room,Food & Drink Restaurant,Food & Drink,Restaurant,100,Linthorpe Road,TS5 6LA,,MIDDLESBROUGH
POINT (449134.325951718 520309.616604122),Sovell & Millwater,"Construction, Manufacturing & Trades Engineering and Scientific Services","Construction, Manufacturing & Trades",Engineering and Scientific Services,19,Brentnall Street,TS1 5AP,,MIDDLESBROUGH
POINT (449135.49180818 520315.416010408),The Best Connection,Financial & Professional Services Human Resources and Recruiting Services,Financial & Professional Services,Human Resources and Recruiting Services,75,63 Gilkes Street,TS1 5EH,,MIDDLESBROUGH
POINT (449136.753962521 518907.112907127),An Apple A Day,Food & Drink Restaurant,Food & Drink,Restaurant,100,,TS5 6HB,,MIDDLESBROUGH
POINT (449138.491773461 518691.571990208),Vass-Tech,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Stonehouse Street,TS5 6,,MIDDLESBROUGH
